time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
15:15:00	54900	15	20	1	136	15	20	1	136
15:20:00	55200	20	30	0	126	20	30	0	126
15:25:00	55500	19	26	0	119	19	26	0	119
15:30:00	55800	16	21	0	114	16	21	0	114
15:35:00	56100	12	19	0	107	12	19	0	107
15:40:00	56400	8	20	1	94	8	20	1	94
15:45:00	56700	18	12	0	100	18	12	0	100
15:50:00	57000	15	21	0	94	15	21	0	94
15:55:00	57300	6	8	0	92	6	8	0	92
16:00:00	57600	18	11	0	99	18	11	0	99
16:05:00	57900	19	14	1	103	19	14	1	103
16:10:00	58200	11	18	1	95	11	18	1	95
16:15:00	58500	12	10	1	96	12	10	1	96
16:20:00	58800	13	17	0	92	13	17	0	92
16:25:00	59100	9	20	0	81	9	20	0	81
16:30:00	59400	11	8	0	84	11	8	0	84
16:35:00	59700	5	7	0	82	5	7	0	82
16:40:00	60000	5	5	0	82	5	5	0	82
16:45:00	60300	9	14	0	77	9	14	0	77
16:50:00	60600	12	12	0	77	12	12	0	77
16:55:00	60900	7	12	0	72	7	12	0	72
17:00:00	61200	9	13	0	68	9	13	0	68
17:05:00	61500	15	10	0	73	15	10	0	73
17:10:00	61800	5	13	0	65	5	13	0	65
17:15:00	62100	4	9	0	60	4	9	0	60
17:20:00	62400	3	6	0	57	3	6	0	57
17:25:00	62700	5	7	0	55	5	7	0	55
17:30:00	63000	5	8	0	52	5	8	0	52
17:35:00	63300	7	7	0	52	7	7	0	52
17:40:00	63600	8	8	0	52	8	8	0	52
17:45:00	63900	9	2	0	59	9	2	0	59
17:50:00	64200	4	12	0	51	4	12	0	51
17:55:00	64500	4	6	1	48	4	6	1	48
18:00:00	64800	4	7	0	45	4	7	0	45
18:05:00	65100	5	6	0	44	5	6	0	44
18:10:00	65400	5	4	0	45	5	4	0	45
18:15:00	65700	2	2	0	45	2	2	0	45
18:20:00	66000	4	7	1	41	4	7	1	41
18:25:00	66300	1	5	0	37	1	5	0	37
18:30:00	66600	6	9	1	33	6	9	1	33
18:35:00	66900	2	8	0	27	2	8	0	27
18:40:00	67200	5	7	1	24	5	7	1	24
18:45:00	67500	5	3	0	26	5	3	0	26
18:50:00	67800	1	6	0	21	1	6	0	21
18:55:00	68100	1	5	1	16	1	5	1	16
19:00:00	68400	3	2	0	17	3	2	0	17
19:05:00	68700	4	4	0	17	4	4	0	17
19:10:00	69000	1	1	0	17	1	1	0	17
19:15:00	69300	4	5	0	16	4	5	0	16
19:20:00	69600	4	2	0	18	4	2	0	18
19:25:00	69900	2	4	0	16	2	4	0	16
19:30:00	70200	3	3	0	16	3	3	0	16
19:35:00	70500	5	3	0	18	5	3	0	18
19:40:00	70800	1	3	0	16	1	3	0	16
19:45:00	71100	1	2	0	15	1	2	0	15
19:50:00	71400	0	3	0	12	0	3	0	12
19:55:00	71700	2	2	0	12	2	2	0	12
20:00:00	72000	2	1	0	13	2	1	0	13
20:05:00	72300	3	1	0	15	3	1	0	15
20:10:00	72600	1	1	0	15	1	1	0	15
20:15:00	72900	0	2	0	13	0	2	0	13
20:20:00	73200	2	3	0	12	2	3	0	12
20:25:00	73500	1	0	0	13	1	0	0	13
20:30:00	73800	1	2	0	12	1	2	0	12
20:35:00	74100	1	3	1	9	1	3	1	9
20:40:00	74400	0	0	0	9	0	0	0	9
20:45:00	74700	1	2	0	8	1	2	0	8
20:50:00	75000	0	0	0	8	0	0	0	8
20:55:00	75300	1	0	0	9	1	0	0	9
21:00:00	75600	1	2	0	8	1	2	0	8
21:05:00	75900	0	0	0	8	0	0	0	8
21:10:00	76200	0	1	0	7	0	1	0	7
21:15:00	76500	1	1	0	7	1	1	0	7
21:20:00	76800	0	2	0	5	0	2	0	5
21:25:00	77100	1	0	0	6	1	0	0	6
21:30:00	77400	0	0	0	6	0	0	0	6
21:35:00	77700	0	0	0	6	0	0	0	6
21:40:00	78000	0	0	0	6	0	0	0	6
21:45:00	78300	0	0	0	6	0	0	0	6
21:50:00	78600	0	0	0	6	0	0	0	6
21:55:00	78900	0	0	0	6	0	0	0	6
22:00:00	79200	1	0	0	7	1	0	0	7
22:05:00	79500	0	1	0	6	0	1	0	6
22:10:00	79800	0	1	0	5	0	1	0	5
22:15:00	80100	0	1	0	4	0	1	0	4
22:20:00	80400	0	0	0	4	0	0	0	4
22:25:00	80700	0	0	0	4	0	0	0	4
22:30:00	81000	0	1	0	3	0	1	0	3
22:35:00	81300	0	0	0	3	0	0	0	3
22:40:00	81600	0	0	0	3	0	0	0	3
22:45:00	81900	0	0	0	3	0	0	0	3
22:50:00	82200	0	0	0	3	0	0	0	3
22:55:00	82500	0	0	0	3	0	0	0	3
23:00:00	82800	0	0	0	3	0	0	0	3
23:05:00	83100	0	0	0	3	0	0	0	3
23:10:00	83400	0	0	0	3	0	0	0	3
23:15:00	83700	0	0	0	3	0	0	0	3
23:20:00	84000	0	0	0	3	0	0	0	3
23:25:00	84300	0	1	0	2	0	1	0	2
23:30:00	84600	0	0	0	2	0	0	0	2
23:35:00	84900	0	0	0	2	0	0	0	2
23:40:00	85200	0	0	0	2	0	0	0	2
23:45:00	85500	0	1	0	1	0	1	0	1
23:50:00	85800	0	1	0	0	0	1	0	0
23:55:00	86100	0	0	0	0	0	0	0	0
24:00:00	86400	0	0	0	0	0	0	0	0
24:05:00	86700	0	0	0	0	0	0	0	0
24:10:00	87000	0	0	0	0	0	0	0	0
24:15:00	87300	0	0	0	0	0	0	0	0
24:20:00	87600	0	0	0	0	0	0	0	0
24:25:00	87900	0	0	0	0	0	0	0	0
24:30:00	88200	0	0	0	0	0	0	0	0
24:35:00	88500	0	0	0	0	0	0	0	0
24:40:00	88800	0	0	0	0	0	0	0	0
24:45:00	89100	0	0	0	0	0	0	0	0
24:50:00	89400	0	0	0	0	0	0	0	0
24:55:00	89700	0	0	0	0	0	0	0	0
25:00:00	90000	0	0	0	0	0	0	0	0
25:05:00	90300	0	0	0	0	0	0	0	0
25:10:00	90600	0	0	0	0	0	0	0	0
25:15:00	90900	0	0	0	0	0	0	0	0
25:20:00	91200	0	0	0	0	0	0	0	0
25:25:00	91500	0	0	0	0	0	0	0	0
25:30:00	91800	0	0	0	0	0	0	0	0
25:35:00	92100	0	0	0	0	0	0	0	0
25:40:00	92400	0	0	0	0	0	0	0	0
25:45:00	92700	0	0	0	0	0	0	0	0
25:50:00	93000	0	0	0	0	0	0	0	0
25:55:00	93300	0	0	0	0	0	0	0	0
26:00:00	93600	0	0	0	0	0	0	0	0
26:05:00	93900	0	0	0	0	0	0	0	0
26:10:00	94200	0	0	0	0	0	0	0	0
26:15:00	94500	0	0	0	0	0	0	0	0
26:20:00	94800	0	0	0	0	0	0	0	0
26:25:00	95100	0	0	0	0	0	0	0	0
26:30:00	95400	0	0	0	0	0	0	0	0
26:35:00	95700	0	0	0	0	0	0	0	0
26:40:00	96000	0	0	0	0	0	0	0	0
26:45:00	96300	0	0	0	0	0	0	0	0
26:50:00	96600	0	0	0	0	0	0	0	0
26:55:00	96900	0	0	0	0	0	0	0	0
27:00:00	97200	0	0	0	0	0	0	0	0
27:05:00	97500	0	0	0	0	0	0	0	0
27:10:00	97800	0	0	0	0	0	0	0	0
27:15:00	98100	0	0	0	0	0	0	0	0
27:20:00	98400	0	0	0	0	0	0	0	0
27:25:00	98700	0	0	0	0	0	0	0	0
27:30:00	99000	0	0	0	0	0	0	0	0
27:35:00	99300	0	0	0	0	0	0	0	0
27:40:00	99600	0	0	0	0	0	0	0	0
27:45:00	99900	0	0	0	0	0	0	0	0
